algoritmo,S,T,memoria_usada
memo,textos/file1.txt,textos/file2.txt,71296
memo,textos/file1.txt,textos/file3.txt,129152
memo,textos/file1.txt,textos/file4.txt,165120
memo,textos/file2.txt,textos/file1.txt,71296
memo,textos/file2.txt,textos/file3.txt,276992
memo,textos/file2.txt,textos/file4.txt,355328
memo,textos/file3.txt,textos/file1.txt,129280
memo,textos/file3.txt,textos/file2.txt,277248
memo,textos/file3.txt,textos/file4.txt,656128
memo,textos/file4.txt,textos/file1.txt,165376
memo,textos/file4.txt,textos/file2.txt,355840
memo,textos/file4.txt,textos/file3.txt,656128
DP,textos/file1.txt,textos/file2.txt,37120
DP,textos/file1.txt,textos/file3.txt,66048
DP,textos/file1.txt,textos/file4.txt,83968
DP,textos/file2.txt,textos/file1.txt,37248
DP,textos/file2.txt,textos/file3.txt,139904
DP,textos/file2.txt,textos/file4.txt,179200
DP,textos/file3.txt,textos/file1.txt,66048
DP,textos/file3.txt,textos/file2.txt,139904
DP,textos/file3.txt,textos/file4.txt,329472
DP,textos/file4.txt,textos/file1.txt,84224
DP,textos/file4.txt,textos/file2.txt,179200
DP,textos/file4.txt,textos/file3.txt,329472
DPO,textos/file1.txt,textos/file2.txt,3712
DPO,textos/file1.txt,textos/file3.txt,3840
DPO,textos/file1.txt,textos/file4.txt,3840
DPO,textos/file2.txt,textos/file1.txt,3712
DPO,textos/file2.txt,textos/file3.txt,3712
DPO,textos/file2.txt,textos/file4.txt,3712
DPO,textos/file3.txt,textos/file1.txt,3584
DPO,textos/file3.txt,textos/file2.txt,3712
DPO,textos/file3.txt,textos/file4.txt,3840
DPO,textos/file4.txt,textos/file1.txt,3584
DPO,textos/file4.txt,textos/file2.txt,3584
DPO,textos/file4.txt,textos/file3.txt,3712
